name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
"China, Taiwan Province of",214,158,23.6978100,121,1946,2850,3251,3963,3180,2475,2430,2922,2291,3773,2160,1836,1723,1254,343,257,292,439,232,312,177,143,8,8,118,118,38,63,12,8,8,,,,,,,,,,,,,,,,,,,,,,333,488,557,679,545,424,416,501,392,646,370,315,295,215,59,44,50,75,40,53,30,25,1,1,20,20,6,11,2,1,1,,,,,,,,,,,,,,,,,,,,,
"China, mainland",41,,35,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,351,156,35,105,3368618,3158079,5052927,7001251,8834201,9840575,9912158,9912158,8754196,9587929,8863676,8244692,10787999,10362711,10025849,8653137,8628349,9125220,9293175,11398561,12497573,15150359,19525352,26351014,17462073,14906134,17874729,17470495,15950406,18981059,23896133,18982162,15744078,18278963,20076963,17698563,19382185,18952781,16123048,18598982,22416080,20700871,20463129,26626861,24047018,28405871,32101616,31546719,26852096,25138311,27744607,28801683,577160,541088,865740,1199555,1513602,1686029,1698293,1698293,1499895,1642742,1518652,1412599,1848355,1775489,1717773,1482580,1478333,1563464,1592240,1952965,2141264,2595777,3345364,4514834,2991853,2553933,3062556,2993296,2732853,3252108,4094229,3252297,2697502,3131815,3439874,3032372,3320835,3247263,2762432,3186645,3840645,3546771,3506037,4562097,4120081,4866902,5500110,5405037,4600687,4307057,4753605,4934718
Colombia,44,170,4,-72,494646,532143,469980,427069,421679,483758,618285,772225,806596,822162,721922,931892,747113,941020,893640,911121,1043210,711634,609404,762010,775752,326745,276379,574451,750179,756038,726892,784351,706782,753991,994870,735796,451883,354608,351173,449641,236460,230874,225493,239042,245398,203849,215416,348269,330937,232613,258575,158605,179385,219903,219034,204236,15618,16802,14839,13484,13314,15274,19522,24382,25467,25959,22794,29423,23589,29711,28216,28767,32938,22469,19241,24059,24493,10317,8726,18138,23686,23871,22951,24765,22316,23806,31412,23232,14268,11196,11088,14197,7466,7290,7120,7547,7748,6436,6801,10996,10449,7344,8164,5008,5664,6943,6916,6449
Comoros,45,174,-12.1667,44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,46,178,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,47,184,-21.2333,-159.7667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,48,188,10,-84,22138,27433,31405,59616,88007,73320,83917,62360,26358,5230,5680,2310,9667,11062,3498,32557,132531,51374,70550,76101,97096,32137,24211,23396,23125,11661,8679,21047,4557,4165,2679,2577,1998,1948,2407,2365,2030,2197,2228,2019,2532,1717,1873,1863,3939,3939,5785,8110,3474,3939,4127,4251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,98,191,45.1667,41774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,49,192,21.5217570,-77.7811670,46939,35953,35484,8820,8168,4664,10056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3576,2739,2703,672,622,355,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,50,196,35,33,207,224,235,70,210,165,270,195,350,100,125,50,5,,,10,10,15,12,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,782,817,242,730,576,940,678,1218,349,436,175,16,,,35,35,51,42,26,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,167,203,49.75,41774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,51,200,13.802053,37.324219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d Ivoire,107,384,8,-5,19836,29425,43564,33515,41226,56896,103516,145108,185784,137767,126064,210202,229031,249047,258068,281017,327672,442411,498489,626363,592105,598500,695397,620363,934500,859976,973429,1184195,1337490,1118582,1200976,899434,1096155,1197114,969656,999891,1195704,1533892,1709885,1854830,1295567,1720710,1809007,828184,1466830,1226471,808369,548138,560346,846576,898160,1174003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
