name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Czechoslovakia,51,200,13.802053,37.324219,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Côte d Ivoire,107,384,8,-5,1.53,2.18,3.1,2.21,2.44,3.01,5.26,7.14,8.58,6.09,5.33,8.17,8.65,9.05,9,9.2,10.15,13.17,14.15,16.8,15.28,14.69,16.28,14.1,20.18,17.33,19.02,22.04,24.16,19.45,20.05,14.45,17.14,18.04,14.54,14.28,17.07,21.13,22.54,24.62,17.33,23.21,23.18,10.43,18.38,15.09,14.12,6.47,6.61,9.13,12.71,12.7
Democratic People s Republic of Korea,116,408,40,127,0.77,0.76,0.75,0.73,0.72,0.7,0.68,0.66,0.64,0.62,0.61,0.59,0.58,0.56,0.55,0.54,0.54,0.53,0.52,0.52,0.56,0.59,0.63,0.65,0.8,0.94,1.15,1.22,1.27,1.34,1.39,1.49,1.56,1.63,1.38,1.5,1.34,1.49,1.26,1.53,1.65,1.55,1.54,1.52,1.47,1.48,1.66,1.63,1.38,1.28,1.29,1.6
Democratic Republic of the Congo,250,180,0,25,4.09,2.4,2.58,2.36,1.07,1.1,1.32,2.38,3.08,3.46,2.84,2.84,3.2,2.59,2.34,2.2,2.01,1.83,0.71,1.1,0.74,2.47,2.67,2.53,1.96,1.72,1.39,0.91,0.99,0.85,0.84,0.72,0.69,0.67,0.63,0.62,0.61,0.61,0.59,0.58,0.57,0.54,0.52,0.47,0.46,0.45,0.44,0.43,0.42,0.34,0.34,0.35
Denmark,54,208,56,10,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Djibouti,72,262,11.8251380,42.5902750,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Dominica,55,212,15.4167,-61.3333,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Dominican Republic,56,214,19,-70.6667,2.01,2.07,2.53,1.29,1.29,0.75,0.22,0.41,0.68,0.89,0.69,0.66,0.62,0.38,0.52,0.6,0.73,0.55,0.71,0.96,1.12,1.03,1.07,0.95,0.88,0.81,1.04,1.09,1.14,1.04,0.91,0.5,0.42,0.27,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Ecuador,58,218,-2,-77.5,2.16,2.26,1.87,2.8,3.54,3.28,2.85,2.43,3.78,1.25,1.72,1.8,2.98,6.16,4.3,3.58,3.59,3.5,3.17,4.88,4.96,2.89,0.47,0.84,1.94,3.29,2.02,2.35,3.27,3.6,2.86,2.93,1.8,1.13,1.3,1.32,1.16,0.74,0.74,0.67,0.54,0.26,0.08,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.24,0.24
Egypt,59,818,27,30,34.53,44.43,42.73,45.32,46.18,38.71,35.36,34.48,41.18,38.32,37.94,37.13,34.91,30.2,25.62,26.04,25.86,27.45,29.02,30.85,28.34,25.5,21.95,21.04,22.96,21.19,17.98,15.81,14.38,14.32,13.63,16.12,17.95,11.05,10.16,14.58,14.3,9.6,9.23,8.37,12.27,9.8,7.53,10.46,7.48,7.48,7.31,3.95,3.12,4.16,5.03,3.53
